trade_date,snp500_close,nasdaq_close,phlx_semi_close
2021-08-19,4405.8,14541.79,3235.87
2021-08-20,4441.67,14714.66,3256.5
2021-08-23,4479.53,14942.65,3342.01
2021-08-24,4486.23,15019.8,3345.39
2021-08-25,4496.19,15041.86,3372.55
2021-08-26,4470.0,14945.81,3370.39
2021-08-27,4509.37,15129.5,3436.45
2021-08-30,4528.79,15265.89,3446.44
2021-08-31,4522.68,15259.24,3417.72
2021-09-01,4524.09,15309.38,3399.95
2021-09-02,4536.95,15331.18,3411.32
2021-09-03,4535.43,15363.52,3430.89
2021-09-07,4520.03,15374.33,3419.73
2021-09-08,4514.07,15286.64,3377.68
2021-09-09,4493.28,15248.25,3390.84
2021-09-10,4458.58,15115.49,3416.66
2021-09-13,4468.73,15105.58,3449.68
2021-09-14,4443.05,15037.76,3449.39
2021-09-15,4480.7,15161.53,3465.76
2021-09-16,4473.75,15181.92,3473.6
2021-09-17,4432.99,15043.97,3421.16
2021-09-20,4357.73,14713.9,3338.23
2021-09-21,4354.19,14746.4,3345.03
2021-09-22,4395.64,14896.85,3412.02
2021-09-23,4448.98,15052.24,3457.45
2021-09-24,4455.48,15047.7,3453.92
2021-09-27,4443.11,14969.97,3445.44
2021-09-28,4352.63,14546.68,3314.39
2021-09-29,4359.46,14512.44,3263.84
2021-09-30,4307.54,14448.58,3258.09
2021-10-01,4357.04,14566.7,3261.18
2021-10-04,4300.46,14255.48,3180.06
2021-10-05,4345.72,14433.83,3227.25
2021-10-06,4363.55,14501.91,3238.79
2021-10-07,4399.76,14654.02,3274.48
2021-10-08,4391.34,14579.54,3246.27
2021-10-11,4361.19,14486.2,3221.23
2021-10-12,4350.65,14465.92,3178.15
2021-10-13,4363.8,14571.64,3192.75
2021-10-14,4438.26,14823.43,3291.24
2021-10-15,4471.37,14897.34,3314.41
2021-10-18,4486.46,15021.81,3338.78
2021-10-19,4519.63,15129.09,3381.45
2021-10-20,4536.19,15121.68,3374.22
2021-10-21,4549.78,15215.7,3412.05
2021-10-22,4544.9,15090.2,3370.28
2021-10-25,4566.48,15226.71,3392.39
2021-10-26,4574.79,15235.71,3392.96
2021-10-27,4551.68,15235.84,3360.29
2021-10-28,4596.42,15448.12,3438.83
2021-10-29,4605.38,15498.39,3451.27
2021-11-01,4613.67,15595.92,3506.28
2021-11-02,4630.65,15649.6,3548.86
2021-11-03,4660.57,15811.58,3590.17
2021-11-04,4680.06,15940.31,3715.76
2021-11-05,4697.53,15971.59,3756.55
2021-11-08,4701.7,15982.36,3803.33
2021-11-09,4685.25,15886.54,3800.57
2021-11-10,4646.71,15622.71,3693.02
2021-11-11,4649.27,15704.28,3764.49
2021-11-12,4682.85,15860.96,3794.5
2021-11-15,4682.8,15853.85,3793.75
2021-11-16,4700.9,15973.86,3859.4
2021-11-17,4688.67,15921.57,3831.44
2021-11-18,4704.54,15993.71,3899.96
2021-11-19,4697.96,16057.44,3912.02
2021-11-22,4682.94,15854.76,3847.12
2021-11-23,4690.7,15775.14,3834.43
2021-11-24,4701.46,15845.23,3870.01
2021-11-26,4594.62,15491.66,3757.13
2021-11-29,4655.27,15782.83,3910.54
