trade_date,kospi_close,kosdaq_close,vkospi,program_net_amt,vix,us_10y_yield,usd_krw,snp500_close,nasdaq_close,phlx_semi_close
2021-12-20,2963.0,990.510009765625,19.520000457763672,-372398000000,21.57,1.41,1181.03,4620.64,15169.68,3761.04
2021-12-21,2975.030029296875,996.5999755859376,18.31999969482422,99306000000,22.87,1.43,1191.07,4568.02,14980.94,3732.39
2021-12-22,2984.47998046875,1000.1300048828124,17.420000076293945,124712000000,21.01,1.48,1192.35,4649.23,15341.09,3857.3
2021-12-23,2998.169921875,1003.3099975585938,16.93000030517578,224175000000,18.63,1.46,1190.21,4696.56,15521.89,3891.92
2021-12-24,3012.429931640625,1007.4199829101562,16.5,124346000000,17.96,1.5,1187.59,4725.79,15653.37,3932.39
2021-12-27,2999.550048828125,1011.3599853515624,17.459999084472656,74929000000,17.96,1.5,1187.59,4725.79,15653.37,3932.39
2021-12-28,3020.239990234375,1027.43994140625,17.06999969482422,524222000000,17.68,1.48,1186.82,4791.19,15871.26,4039.51
2021-12-29,2993.2900390625,1028.050048828125,16.549999237060547,-75690000000,17.54,1.49,1188.15,4786.35,15781.72,3992.19
2021-12-30,2977.64990234375,1033.97998046875,16.5,-184759000000,16.95,1.55,1185.51,4793.06,15766.22,3999.35
2022-01-03,2988.77001953125,1037.8299560546875,16.56999969482422,121597000000,17.22,1.52,1188.59,4766.18,15644.97,3946.17
2022-01-04,2989.239990234375,1031.6600341796875,16.0,-293786000000,16.6,1.63,1191.39,4796.56,15832.8,4027.22
2022-01-05,2953.969970703125,1009.6199951171876,16.579999923706055,-530433000000,16.91,1.66,1193.77,4793.54,15622.72,4009.0
2022-01-06,2920.530029296875,980.2999877929688,17.520000457763672,131632000000,19.73,1.71,1196.38,4700.58,15100.17,3879.87
2022-01-07,2954.889892578125,995.1599731445312,16.989999771118164,204839000000,19.61,1.73,1205.02,4696.05,15080.86,3909.04
2022-01-10,2926.719970703125,980.3800048828124,17.40999984741211,42848000000,18.76,1.76,1200.78,4677.03,14935.9,3796.32
2022-01-11,2927.3798828125,969.9199829101562,17.270000457763672,102228000000,19.4,1.78,1199.13,4670.29,14942.83,3805.39
2022-01-12,2972.47998046875,991.3300170898438,15.90999984741211,105842000000,18.41,1.75,1194.62,4713.07,15153.45,3875.44
2022-01-13,2962.090087890625,983.25,15.960000038146973,9960000000,17.62,1.74,1187.34,4726.35,15188.39,3901.21
2022-01-14,2921.919921875,971.3900146484376,16.969999313354492,-408692000000,20.31,1.7,1187.95,4659.03,14806.81,3811.84
2022-01-17,2890.10009765625,957.9000244140624,17.530000686645508,-251801000000,19.19,1.78,1186.96,4662.85,14893.75,3900.61
2022-01-18,2864.239990234375,943.9400024414062,18.15999984741211,-67674000000,19.19,1.78,1186.96,4662.85,14893.75,3900.61
2022-01-19,2842.280029296875,933.9000244140624,18.76000022888184,-20925000000,22.79,1.87,1192.74,4577.11,14506.9,3727.24
2022-01-20,2862.679931640625,958.7000122070312,17.989999771118164,-339673000000,23.85,1.83,1188.51,4532.76,14340.26,3612.19
2022-01-21,2834.2900390625,942.8499755859376,19.36000061035156,-129385000000,25.59,1.83,1191.96,4482.73,14154.02,3494.75
2022-01-24,2792.0,915.4000244140624,21.479999542236328,-348850000000,28.85,1.75,1193.87,4397.94,13768.92,3434.79
2022-01-25,2720.389892578125,889.4400024414062,26.26000022888184,-140410000000,29.9,1.75,1195.68,4410.13,13855.13,3479.95
2022-01-26,2709.239990234375,882.0900268554688,24.82999992370605,-343443000000,31.16,1.78,1198.66,4356.45,13539.29,3350.85
2022-01-27,2614.489990234375,849.22998046875,27.940000534057617,-767554000000,31.96,1.85,1197.46,4349.93,13542.12,3407.0
2022-01-28,2663.340087890625,872.8699951171875,23.96999931335449,-174008000000,30.49,1.81,1202.65,4326.51,13352.78,3244.0
2022-02-03,2707.820068359375,891.5999755859375,22.920000076293945,110232000000,22.09,1.78,1201.7,4589.38,14417.55,3597.17
2022-02-04,2750.260009765625,902.8699951171876,21.020000457763672,282064000000,24.35,1.82,1206.35,4477.44,13878.82,3432.55
2022-02-07,2745.06005859375,899.4000244140625,21.59000015258789,-134034000000,23.22,1.93,1199.43,4500.53,14098.01,3453.07
2022-02-08,2746.469970703125,895.27001953125,21.059999465942383,-21171000000,22.86,1.92,1198.64,4483.87,14015.67,3452.33
2022-02-09,2768.85009765625,910.530029296875,19.68000030517578,151615000000,21.44,1.96,1198.05,4521.54,14194.45,3535.13
2022-02-10,2771.929931640625,895.6799926757812,19.209999084472656,640536000000,19.96,1.94,1196.36,4587.18,14490.37,3653.72
2022-02-11,2747.7099609375,877.4199829101562,20.920000076293945,13822000000,23.91,2.03,1196.31,4504.08,14185.64,3536.1
2022-02-14,2704.47998046875,852.7899780273438,23.84000015258789,133876000000,27.36,1.92,1198.72,4418.64,13791.15,3365.25
2022-02-15,2676.5400390625,839.9199829101562,24.6200008392334,-129787000000,28.33,1.98,1196.21,4401.67,13790.92,3370.2
2022-02-16,2729.679931640625,878.1500244140625,21.940000534057617,-21629000000,25.7,2.05,1199.78,4471.07,14139.76,3554.45
2022-02-17,2744.090087890625,874.219970703125,23.280000686645508,496484000000,24.29,2.03,1197.51,4475.01,14124.09,3555.69
2022-02-18,2744.52001953125,881.7100219726562,23.68000030517578,-23133000000,28.11,1.97,1197.39,4380.26,13716.72,3422.6
2022-02-21,2743.800048828125,884.25,23.790000915527344,29828000000,27.75,1.92,1195.4,4348.87,13548.07,3384.3
2022-02-22,2706.7900390625,868.1099853515625,25.34000015258789,-244466000000,27.75,1.92,1195.4,4348.87,13548.07,3384.3
2022-02-23,2719.530029296875,877.3300170898438,24.06999969482422,-194842000000,28.81,1.94,1192.07,4304.76,13381.52,3356.07
2022-02-24,2648.800048828125,848.2100219726562,27.09000015258789,-351496000000,31.02,1.99,1193.42,4225.5,13037.49,3277.8
2022-02-25,2676.760009765625,872.97998046875,23.84000015258789,-190302000000,30.32,1.96,1202.34,4288.7,13473.59,3399.16
2022-02-28,2699.179931640625,881.0700073242188,24.40999984741211,301079000000,27.59,1.97,1201.93,4384.65,13694.62,3452.67
2022-03-02,2703.52001953125,895.4500122070312,24.88999938964844,-209152000000,33.32,1.72,1204.34,4306.26,13532.46,3304.85
2022-03-03,2747.080078125,912.3200073242188,22.729999542236328,197004000000,30.74,1.86,1205.58,4386.54,13752.02,3416.16
2022-03-04,2713.429931640625,900.9600219726562,24.56999969482422,-459307000000,30.48,1.86,1204.35,4363.49,13537.94,3339.76
2022-03-07,2651.31005859375,881.5399780273438,27.84000015258789,-1078092000000,31.98,1.74,1213.71,4328.87,13313.44,3258.92
2022-03-08,2622.39990234375,870.1400146484375,28.950000762939453,-384458000000,36.45,1.78,1226.78,4201.09,12830.96,3098.93
2022-03-10,2680.320068359375,889.0800170898438,25.709999084472656,-165280000000,32.45,1.94,1234.01,4277.88,13255.55,3282.18
2022-03-11,2661.280029296875,891.7100219726562,24.40999984741211,-723258000000,30.23,1.98,1228.21,4259.52,13129.96,3211.07
2022-03-14,2645.64990234375,872.4400024414062,24.700000762939453,-415747000000,30.75,2.0,1231.47,4204.31,12843.81,3144.15
2022-03-15,2621.530029296875,871.219970703125,25.770000457763672,-566524000000,31.77,2.14,1241.46,4173.11,12581.22,3047.5
2022-03-16,2659.22998046875,891.7999877929688,23.739999771118164,70109000000,29.83,2.15,1242.65,4262.45,12948.62,3180.24
