ticker,trade_date,eps,bps,per,pbr
031980,2020-10-28,950,15958,7.25,0.43
031980,2020-10-29,950,15958,7.32,0.44
031980,2020-10-30,950,15958,7.2,0.43
031980,2020-11-02,950,15958,7.24,0.43
031980,2020-11-03,950,15958,7.41,0.44
031980,2020-11-04,950,15958,7.32,0.44
031980,2020-11-05,950,15958,7.36,0.44
031980,2020-11-06,950,15958,7.35,0.44
031980,2020-11-09,950,15958,7.41,0.44
031980,2020-11-10,950,15958,7.39,0.44
031980,2020-11-11,950,15958,7.38,0.44
031980,2020-11-12,950,15958,7.35,0.44
031980,2020-11-13,950,15958,7.43,0.44
031980,2020-11-16,950,15958,7.54,0.45
031980,2020-11-17,950,15958,7.51,0.45
031980,2020-11-18,950,15958,7.49,0.45
031980,2020-11-19,950,15958,7.56,0.45
031980,2020-11-20,950,15958,7.58,0.45
031980,2020-11-23,950,15958,7.68,0.46
031980,2020-11-24,950,15958,7.77,0.46
031980,2020-11-25,950,15958,7.65,0.46
031980,2020-11-26,950,15958,7.69,0.46
031980,2020-11-27,950,15958,7.81,0.46
031980,2020-11-30,950,15958,7.78,0.46
031980,2020-12-01,950,15958,7.85,0.47
031980,2020-12-02,950,15958,8.12,0.48
031980,2020-12-03,950,15958,8.2,0.49
031980,2020-12-04,950,15958,8.2,0.49
031980,2020-12-07,950,15958,8.14,0.48
031980,2020-12-08,950,15958,8.13,0.48
031980,2020-12-09,950,15958,8.09,0.48
031980,2020-12-10,950,15958,8.05,0.48
031980,2020-12-11,950,15958,8.05,0.48
031980,2020-12-14,950,15958,7.84,0.47
031980,2020-12-15,950,15958,7.96,0.47
031980,2020-12-16,950,15958,8.03,0.48
031980,2020-12-17,950,15958,8.39,0.5
031980,2020-12-18,950,15958,8.52,0.51
031980,2020-12-21,950,15958,8.48,0.51
031980,2020-12-22,950,15958,8.36,0.5
031980,2020-12-23,950,15958,8.28,0.49
031980,2020-12-24,950,15958,8.32,0.5
031980,2020-12-28,950,15958,8.26,0.49
031980,2020-12-29,950,15958,8.47,0.5
031980,2020-12-30,950,15958,8.74,0.52
031980,2021-01-04,950,15958,8.92,0.53
031980,2021-01-05,950,15958,8.96,0.53
031980,2021-01-06,950,15958,8.94,0.53
031980,2021-01-07,950,15958,9.04,0.54
031980,2021-01-08,950,15958,9.14,0.54
031980,2021-01-11,950,15958,9.39,0.56
031980,2021-01-12,950,15958,9.29,0.55
031980,2021-01-13,950,15958,9.17,0.55
031980,2021-01-14,950,15958,9.31,0.55
031980,2021-01-15,950,15958,9.26,0.55
031980,2021-01-18,950,15958,9.21,0.55
031980,2021-01-19,950,15958,9.05,0.54
031980,2021-01-20,950,15958,9.09,0.54
031980,2021-01-21,950,15958,9.47,0.56
031980,2021-01-22,950,15958,9.63,0.57
031980,2021-01-25,950,15958,9.56,0.57
031980,2021-01-26,950,15958,9.37,0.56
031980,2021-01-27,950,15958,9.23,0.55
031980,2021-01-28,950,15958,9.36,0.56
031980,2021-01-29,950,15958,8.99,0.54
031980,2021-02-01,950,15958,9.03,0.54
031980,2021-02-02,950,15958,9.04,0.54
031980,2021-02-03,950,15958,9.15,0.54
031980,2021-02-04,950,15958,8.92,0.53
031980,2021-02-05,950,15958,9.09,0.54
031980,2021-02-08,950,15958,9.05,0.54
031980,2021-02-09,950,15958,9.03,0.54
031980,2021-02-10,950,15958,9.02,0.54
