ticker,trade_date,eps,bps,per,pbr
352820,2023-08-02,1265,66995,199.21,3.76
352820,2023-08-03,1265,66995,196.05,3.7
352820,2023-08-04,1265,66995,215.02,4.06
352820,2023-08-07,1265,66995,217.0,4.1
352820,2023-08-08,1265,66995,215.02,4.06
352820,2023-08-09,1265,66995,205.14,3.87
352820,2023-08-10,1265,66995,202.77,3.83
352820,2023-08-11,1265,66995,201.58,3.81
352820,2023-08-14,1265,66995,199.21,3.76
352820,2023-08-16,1265,66995,190.51,3.6
352820,2023-08-17,1265,66995,189.33,3.57
352820,2023-08-18,1265,66995,186.96,3.53
352820,2023-08-21,1265,66995,188.54,3.56
352820,2023-08-22,1265,66995,186.56,3.52
352820,2023-08-23,1265,66995,184.98,3.49
352820,2023-08-24,1265,66995,183.79,3.47
352820,2023-08-25,1265,66995,187.35,3.54
352820,2023-08-28,1265,66995,193.28,3.65
352820,2023-08-29,1265,66995,198.42,3.75
352820,2023-08-30,1265,66995,194.07,3.66
352820,2023-08-31,1265,66995,199.6,3.77
352820,2023-09-01,1265,66995,196.84,3.72
352820,2023-09-04,1265,66995,198.02,3.74
352820,2023-09-05,1265,66995,198.42,3.75
352820,2023-09-06,1265,66995,197.23,3.72
352820,2023-09-07,1265,66995,194.07,3.66
352820,2023-09-08,1265,66995,194.07,3.66
352820,2023-09-11,1265,66995,193.28,3.65
352820,2023-09-12,1265,66995,195.65,3.69
352820,2023-09-13,1265,66995,191.3,3.61
352820,2023-09-14,1265,66995,194.47,3.67
352820,2023-09-15,1265,66995,193.28,3.65
352820,2023-09-18,1265,66995,190.91,3.6
352820,2023-09-19,1265,66995,193.68,3.66
352820,2023-09-20,1265,66995,192.09,3.63
352820,2023-09-21,1265,66995,182.21,3.44
352820,2023-09-22,1265,66995,182.21,3.44
352820,2023-09-25,1265,66995,191.7,3.62
352820,2023-09-26,1265,66995,191.7,3.62
352820,2023-09-27,1265,66995,188.14,3.55
352820,2023-10-04,1265,66995,175.89,3.32
352820,2023-10-05,1265,66995,179.45,3.39
352820,2023-10-06,1265,66995,181.03,3.42
352820,2023-10-10,1265,66995,176.68,3.34
352820,2023-10-11,1265,66995,180.63,3.41
352820,2023-10-12,1265,66995,194.47,3.67
352820,2023-10-13,1265,66995,193.28,3.65
352820,2023-10-16,1265,66995,189.72,3.58
352820,2023-10-17,1265,66995,187.75,3.55
352820,2023-10-18,1265,66995,184.98,3.49
352820,2023-10-19,1265,66995,179.84,3.4
352820,2023-10-20,1265,66995,177.47,3.35
352820,2023-10-23,1265,66995,181.03,3.42
352820,2023-10-24,1265,66995,183.0,3.46
352820,2023-10-25,1265,66995,180.63,3.41
352820,2023-10-26,1265,66995,161.26,3.05
352820,2023-10-27,1265,66995,167.59,3.16
352820,2023-10-30,1265,66995,173.52,3.28
352820,2023-10-31,1265,66995,173.52,3.28
352820,2023-11-01,1265,66995,182.21,3.44
352820,2023-11-02,1265,66995,179.84,3.4
352820,2023-11-03,1265,66995,170.75,3.22
352820,2023-11-06,1265,66995,179.84,3.4
352820,2023-11-07,1265,66995,170.36,3.22
352820,2023-11-08,1265,66995,171.15,3.23
352820,2023-11-09,1265,66995,167.59,3.16
352820,2023-11-10,1265,66995,167.59,3.16
352820,2023-11-13,1265,66995,160.08,3.02
352820,2023-11-14,1265,66995,161.66,3.05
352820,2023-11-15,1265,66995,166.8,3.15
352820,2023-11-16,1265,66995,162.45,3.07
352820,2023-11-17,1265,66995,150.43,2.84
352820,2023-11-20,1265,66995,152.89,2.89
352820,2023-11-21,1265,66995,157.47,2.97
352820,2023-11-22,1265,66995,158.1,2.99
352820,2023-11-23,1265,66995,167.59,3.16
352820,2023-11-24,1265,66995,166.4,3.14
352820,2023-11-27,1265,66995,167.59,3.16
352820,2023-11-28,1265,66995,168.38,3.18
352820,2023-11-29,1265,66995,169.96,3.21
352820,2023-11-30,1265,66995,170.36,3.22
352820,2023-12-01,1265,66995,167.19,3.16
352820,2023-12-04,1265,66995,165.22,3.12
352820,2023-12-05,1265,66995,168.38,3.18
352820,2023-12-06,1265,66995,180.63,3.41
352820,2023-12-07,1265,66995,180.63,3.41
352820,2023-12-08,1265,66995,187.75,3.55
352820,2023-12-11,1265,66995,188.14,3.55
352820,2023-12-12,1265,66995,184.98,3.49
352820,2023-12-13,1265,66995,184.58,3.49
352820,2023-12-14,1265,66995,184.19,3.48
352820,2023-12-15,1265,66995,188.54,3.56
352820,2023-12-18,1265,66995,190.91,3.6
352820,2023-12-19,1265,66995,188.93,3.57
352820,2023-12-20,1265,66995,185.38,3.5
352820,2023-12-21,1265,66995,182.21,3.44
352820,2023-12-22,1265,66995,181.82,3.43
352820,2023-12-26,1265,66995,179.05,3.38
352820,2023-12-27,1265,66995,183.0,3.46
352820,2023-12-28,1265,66995,184.58,3.49
352820,2024-01-02,1265,66995,190.91,3.6
352820,2024-01-03,1265,66995,189.33,3.57
352820,2024-01-04,1265,66995,190.12,3.59
352820,2024-01-05,1265,66995,199.21,3.76
352820,2024-01-08,1265,66995,198.42,3.75
352820,2024-01-09,1265,66995,196.05,3.7
352820,2024-01-10,1265,66995,198.02,3.74
352820,2024-01-11,1265,66995,202.37,3.82
352820,2024-01-12,1265,66995,195.26,3.69
352820,2024-01-15,1265,66995,184.58,3.49
352820,2024-01-16,1265,66995,180.63,3.41
352820,2024-01-17,1265,66995,176.68,3.34
352820,2024-01-18,1265,66995,173.52,3.28
352820,2024-01-19,1265,66995,173.91,3.28
352820,2024-01-22,1265,66995,170.75,3.22
352820,2024-01-23,1265,66995,173.12,3.27
352820,2024-01-24,1265,66995,175.49,3.31
352820,2024-01-25,1265,66995,170.75,3.22
352820,2024-01-26,1265,66995,171.15,3.23
352820,2024-01-29,1265,66995,161.66,3.05
352820,2024-01-30,1265,66995,161.66,3.05
352820,2024-01-31,1265,66995,159.29,3.01
352820,2024-02-01,1265,66995,157.31,2.97
352820,2024-02-02,1265,66995,162.45,3.07
352820,2024-02-05,1265,66995,157.31,2.97
352820,2024-02-06,1265,66995,155.34,2.93
352820,2024-02-07,1265,66995,156.05,2.95
352820,2024-02-08,1265,66995,158.1,2.99
352820,2024-02-13,1265,66995,162.45,3.07
352820,2024-02-14,1265,66995,172.73,3.26
352820,2024-02-15,1265,66995,173.12,3.27
352820,2024-02-16,1265,66995,164.82,3.11
352820,2024-02-19,1265,66995,161.26,3.05
352820,2024-02-20,1265,66995,161.26,3.05
352820,2024-02-21,1265,66995,166.01,3.13
352820,2024-02-22,1265,66995,171.94,3.25
352820,2024-02-23,1265,66995,170.36,3.22
352820,2024-02-26,1265,66995,171.94,3.25
352820,2024-02-27,1265,66995,159.68,3.02
352820,2024-02-28,1265,66995,159.68,3.02
352820,2024-02-29,1265,66995,157.39,2.97
352820,2024-03-04,1265,66995,152.33,2.88
352820,2024-03-05,1265,66995,149.09,2.82
352820,2024-03-06,1265,66995,148.22,2.8
352820,2024-03-07,1265,66995,146.96,2.77
352820,2024-03-08,1265,66995,153.83,2.9
352820,2024-03-11,1265,66995,160.47,3.03
352820,2024-03-12,1265,66995,161.66,3.05
352820,2024-03-13,1265,66995,159.29,3.01
352820,2024-03-14,1265,66995,158.1,2.99
352820,2024-03-15,1265,66995,157.31,2.97
352820,2024-03-18,1265,66995,156.05,2.95
352820,2024-03-19,1265,66995,152.33,2.88
352820,2024-03-20,1265,66995,152.81,2.89
352820,2024-03-21,1265,66995,154.31,2.91
352820,2024-03-22,1265,66995,154.78,2.92
352820,2024-03-25,1265,66995,163.64,3.09
352820,2024-03-26,1265,66995,165.61,3.13
352820,2024-03-27,1265,66995,177.08,3.34
352820,2024-03-28,1265,66995,181.03,3.42
352820,2024-03-29,1265,66995,181.82,3.43
352820,2024-04-01,1265,66995,179.05,3.38
352820,2024-04-02,1265,66995,175.89,3.32
352820,2024-04-03,1265,66995,177.08,3.34
352820,2024-04-04,1265,66995,174.7,3.3
352820,2024-04-05,1265,66995,177.08,3.34
352820,2024-04-08,1265,66995,171.54,3.24
352820,2024-04-09,1265,66995,171.15,3.23
352820,2024-04-11,1265,66995,171.15,3.23
352820,2024-04-12,1265,66995,168.38,3.18
352820,2024-04-15,1265,66995,169.57,3.2
352820,2024-04-16,1265,66995,176.28,3.33
352820,2024-04-17,1265,66995,173.12,3.27
352820,2024-04-18,1265,66995,180.63,3.41
352820,2024-04-19,1265,66995,182.21,3.44
352820,2024-04-22,1265,66995,167.98,3.17
352820,2024-04-23,1265,66995,166.01,3.13
352820,2024-04-24,1265,66995,166.8,3.15
352820,2024-04-25,1265,66995,167.59,3.16
352820,2024-04-26,1265,66995,159.29,3.01
352820,2024-04-29,1265,66995,162.06,3.06
352820,2024-04-30,1265,66995,159.68,3.02
352820,2024-05-02,4504,70090,44.4,2.85
352820,2024-05-03,4504,70090,45.18,2.9
352820,2024-05-07,4504,70090,45.4,2.92
352820,2024-05-08,4504,70090,45.07,2.9
352820,2024-05-09,4504,70090,44.38,2.85
352820,2024-05-10,4504,70090,44.52,2.86
352820,2024-05-13,4504,70090,42.81,2.75
352820,2024-05-14,4504,70090,42.96,2.76
352820,2024-05-16,4504,70090,43.07,2.77
352820,2024-05-17,4504,70090,43.05,2.77
352820,2024-05-20,4504,70090,42.45,2.73
352820,2024-05-21,4504,70090,41.74,2.68
352820,2024-05-22,4504,70090,41.47,2.67
352820,2024-05-23,4504,70090,43.98,2.83
352820,2024-05-24,4504,70090,44.52,2.86
352820,2024-05-27,4504,70090,45.18,2.9
352820,2024-05-28,4504,70090,44.4,2.85
352820,2024-05-29,4504,70090,44.25,2.84
352820,2024-05-30,4504,70090,45.29,2.91
352820,2024-05-31,4504,70090,44.4,2.85
352820,2024-06-03,4504,70090,44.52,2.86
352820,2024-06-04,4504,70090,44.4,2.85
352820,2024-06-05,4504,70090,44.07,2.83
352820,2024-06-07,4504,70090,43.74,2.81
352820,2024-06-10,4504,70090,44.96,2.89
352820,2024-06-11,4504,70090,43.96,2.82
352820,2024-06-12,4504,70090,44.21,2.84
352820,2024-06-13,4504,70090,44.34,2.85
352820,2024-06-14,4504,70090,44.52,2.86
352820,2024-06-17,4504,70090,44.96,2.89
352820,2024-06-18,4504,70090,44.38,2.85
352820,2024-06-19,4504,70090,44.52,2.86
352820,2024-06-20,4504,70090,44.96,2.89
352820,2024-06-21,4504,70090,44.4,2.85
352820,2024-06-24,4504,70090,43.98,2.83
352820,2024-06-25,4504,70090,44.12,2.83
352820,2024-06-26,4504,70090,43.94,2.82
352820,2024-06-27,4504,70090,44.07,2.83
352820,2024-06-28,4504,70090,44.96,2.89
352820,2024-07-01,4504,70090,44.52,2.86
352820,2024-07-02,4504,70090,43.78,2.81
352820,2024-07-03,4504,70090,43.74,2.81
352820,2024-07-04,4504,70090,44.63,2.87
352820,2024-07-05,4504,70090,43.83,2.82
352820,2024-07-08,4504,70090,43.58,2.8
352820,2024-07-09,4504,70090,43.14,2.77
352820,2024-07-10,4504,70090,42.3,2.72
352820,2024-07-11,4504,70090,42.21,2.71
352820,2024-07-12,4504,70090,42.12,2.71
352820,2024-07-15,4504,70090,41.79,2.69
352820,2024-07-16,4504,70090,41.36,2.66
352820,2024-07-17,4504,70090,40.52,2.6
352820,2024-07-18,4504,70090,41.07,2.64
352820,2024-07-19,4504,70090,40.52,2.6
352820,2024-07-22,4504,70090,39.88,2.56
352820,2024-07-23,4504,70090,40.01,2.57
352820,2024-07-24,4504,70090,39.37,2.53
352820,2024-07-25,4504,70090,37.81,2.43
352820,2024-07-26,4504,70090,38.12,2.45
352820,2024-07-29,4504,70090,38.74,2.49
352820,2024-07-30,4504,70090,38.19,2.45
352820,2024-07-31,4504,70090,39.08,2.51
352820,2024-08-01,4504,70090,38.92,2.5
352820,2024-08-02,4504,70090,40.14,2.58
352820,2024-08-05,4504,70090,37.77,2.43
352820,2024-08-06,4504,70090,38.06,2.45
352820,2024-08-07,4504,70090,40.3,2.59
352820,2024-08-08,4504,70090,40.81,2.62
352820,2024-08-09,4504,70090,38.23,2.46
352820,2024-08-12,4504,70090,38.21,2.46
352820,2024-08-13,4504,70090,37.94,2.44
352820,2024-08-14,4504,70090,36.21,2.33
352820,2024-08-16,4504,70090,36.94,2.37
352820,2024-08-19,4504,70090,37.39,2.4
352820,2024-08-20,4504,70090,37.52,2.41
352820,2024-08-21,4504,70090,37.7,2.42
352820,2024-08-22,4504,70090,39.39,2.53
352820,2024-08-23,4504,70090,39.21,2.52
352820,2024-08-26,4504,70090,39.37,2.53
352820,2024-08-27,4504,70090,39.25,2.52
352820,2024-08-28,4504,70090,40.41,2.6
352820,2024-08-29,4504,70090,41.63,2.68
352820,2024-08-30,4504,70090,40.94,2.63
352820,2024-09-02,4504,70090,39.92,2.57
352820,2024-09-03,4504,70090,40.05,2.57
352820,2024-09-04,4504,70090,38.01,2.44
352820,2024-09-05,4504,70090,38.14,2.45
352820,2024-09-06,4504,70090,36.77,2.36
352820,2024-09-09,4504,70090,36.63,2.35
352820,2024-09-10,4504,70090,36.86,2.37
352820,2024-09-11,4504,70090,38.61,2.48
352820,2024-09-12,4504,70090,37.52,2.41
352820,2024-09-13,4504,70090,36.41,2.34
352820,2024-09-19,4504,70090,35.88,2.31
352820,2024-09-20,4504,70090,35.52,2.28
352820,2024-09-23,4504,70090,35.08,2.25
352820,2024-09-24,4504,70090,36.17,2.32
352820,2024-09-25,4504,70090,35.46,2.28
352820,2024-09-26,4504,70090,37.72,2.42
352820,2024-09-27,4504,70090,38.39,2.47
352820,2024-09-30,4504,70090,37.48,2.41
352820,2024-10-02,4504,70090,37.77,2.43
352820,2024-10-04,4504,70090,38.52,2.48
352820,2024-10-07,4504,70090,38.52,2.48
352820,2024-10-08,4504,70090,39.7,2.55
352820,2024-10-10,4504,70090,39.65,2.55
352820,2024-10-11,4504,70090,39.1,2.51
352820,2024-10-14,4504,70090,40.92,2.63
352820,2024-10-15,4504,70090,40.96,2.63
352820,2024-10-16,4504,70090,39.85,2.56
352820,2024-10-17,4504,70090,42.65,2.74
352820,2024-10-18,4504,70090,41.92,2.69
352820,2024-10-21,4504,70090,43.14,2.77
352820,2024-10-22,4504,70090,43.52,2.8
352820,2024-10-23,4504,70090,43.03,2.77
352820,2024-10-24,4504,70090,43.05,2.77
352820,2024-10-25,4504,70090,42.78,2.75
352820,2024-10-28,4504,70090,43.38,2.79
352820,2024-10-29,4504,70090,43.63,2.8
352820,2024-10-30,4504,70090,42.7,2.74
352820,2024-10-31,4504,70090,41.19,2.65
352820,2024-11-01,4504,70090,41.45,2.66
352820,2024-11-04,4504,70090,43.81,2.81
352820,2024-11-05,4504,70090,44.96,2.89
352820,2024-11-06,4504,70090,44.85,2.88
352820,2024-11-07,4504,70090,44.25,2.84
352820,2024-11-08,4504,70090,44.09,2.83
352820,2024-11-11,4504,70090,44.4,2.85
352820,2024-11-12,4504,70090,43.12,2.77
352820,2024-11-13,4504,70090,44.09,2.83
352820,2024-11-14,4504,70090,44.05,2.83
352820,2024-11-15,4504,70090,45.52,2.92
352820,2024-11-18,4504,70090,46.96,3.02
352820,2024-11-19,4504,70090,47.96,3.08
352820,2024-11-20,4504,70090,48.29,3.1
352820,2024-11-21,4504,70090,47.51,3.05
352820,2024-11-22,4504,70090,47.51,3.05
352820,2024-11-25,4504,70090,47.51,3.05
352820,2024-11-26,4504,70090,46.85,3.01
352820,2024-11-27,4504,70090,46.96,3.02
352820,2024-11-28,4504,70090,45.18,2.9
352820,2024-11-29,4504,70090,43.34,2.78
352820,2024-12-02,4504,70090,42.14,2.71
352820,2024-12-03,4504,70090,44.25,2.84
352820,2024-12-04,4504,70090,43.69,2.81
352820,2024-12-05,4504,70090,42.27,2.72
352820,2024-12-06,4504,70090,41.96,2.7
352820,2024-12-09,4504,70090,41.14,2.64
352820,2024-12-10,4504,70090,43.83,2.82
352820,2024-12-11,4504,70090,43.12,2.77
352820,2024-12-12,4504,70090,43.76,2.81
352820,2024-12-13,4504,70090,45.63,2.93
352820,2024-12-16,4504,70090,45.52,2.92
352820,2024-12-17,4504,70090,44.96,2.89
352820,2024-12-18,4504,70090,45.29,2.91
352820,2024-12-19,4504,70090,45.29,2.91
