ticker,trade_date,individual_net_amt,foreign_net_amt,inst_net_amt,market_cap
036620,2023-11-08,-16871750,-607623250,624495000,351416000000
036620,2023-11-09,3861550,-155151150,151289600,349148000000
036620,2023-11-10,-634294085,634494690,-200605,343254000000
036620,2023-11-13,235108470,-226877670,-8230800,327383000000
036620,2023-11-14,1509675880,-1212727970,-296947910,309699000000
036620,2023-11-15,-421580565,265036625,156543940,320582000000
036620,2023-11-16,-895827200,507756000,388071200,344614000000
036620,2023-11-17,293066775,-491630580,198563805,338719000000
036620,2023-11-20,269298540,-57463560,-211834980,342800000000
036620,2023-11-21,-139540590,-185403960,324944550,350962000000
036620,2023-11-22,-248285385,71288235,176997150,355043000000
036620,2023-11-23,713422150,-482860250,-230561900,342347000000
036620,2023-11-24,165778210,-128183770,-37594440,341893000000
036620,2023-11-27,-451479730,604735260,-153255530,332824000000
036620,2023-11-28,601899480,261333800,-863233280,330104000000
036620,2023-11-29,421788800,448577800,-870366600,322849000000
036620,2023-11-30,182355260,330960250,-513315510,331464000000
036620,2023-12-01,610014190,-10390340,-599623850,318768000000
036620,2023-12-04,198085200,835420950,-1033506150,312873000000
036620,2023-12-05,-156264675,682645950,-526381275,333278000000
036620,2023-12-06,440953175,-672996300,232043125,315140000000
036620,2023-12-07,7991410,-517290250,509298840,314687000000
036620,2023-12-08,-61462170,113320340,-51858170,311059000000
036620,2023-12-11,-30468780,-45660420,76129200,310152000000
036620,2023-12-12,27400360,62297800,-89698160,302444000000
036620,2023-12-13,-433823000,475403500,-41580500,294736000000
036620,2023-12-14,-159564800,569449600,-409884800,290201000000
036620,2023-12-15,-60460800,-12012800,72473600,290201000000
036620,2023-12-18,706945800,-214500000,-492445800,299270000000
036620,2023-12-19,298532480,-62316720,-236215760,297456000000
036620,2023-12-20,-22910135,67557385,-44647250,298816000000
036620,2023-12-21,175682820,146001450,-321684270,287027000000
036620,2023-12-22,280614600,-366096150,85481550,285667000000
036620,2023-12-26,125385640,132606240,-257991880,286574000000
036620,2023-12-27,376614765,-186902370,-189712395,281586000000
036620,2023-12-28,-522443385,387063675,135379710,287027000000
036620,2024-01-02,987773000,-258072700,-729700300,276598000000
036620,2024-01-03,-105299865,236560635,-131260770,281586000000
036620,2024-01-04,65414220,-65414220,0,287027000000
036620,2024-01-05,51861635,-54017215,2155580,282493000000
036620,2024-01-08,-45963315,265390560,-219427245,281586000000
036620,2024-01-09,-763320120,748341720,14978400,286574000000
036620,2024-01-10,-19011430,-101737430,120748860,282039000000
036620,2024-01-11,524515140,-611446110,86930970,280225000000
036620,2024-01-12,670157425,425538050,-1095695475,269796000000
036620,2024-01-15,-207766050,372315225,-164549175,267983000000
036620,2024-01-16,88303285,-168582960,80279675,263448000000
036620,2024-01-17,1770447040,25225120,-1795672160,268436000000
036620,2024-01-18,-470386800,188036550,282350250,265262000000
036620,2024-01-19,378630100,-444149495,65519395,258914000000
036620,2024-01-22,-91957600,421148000,-329190400,253926000000
036620,2024-01-23,-76004280,608191320,-532187040,254379000000
036620,2024-01-24,-168142765,145757885,22384880,255286000000
036620,2024-01-25,156278340,102089295,-258367635,248938000000
036620,2024-01-26,90806760,89230800,-180037560,250298000000
036620,2024-01-29,243676680,-145230780,-98445900,246217000000
036620,2024-01-30,-31739015,51800595,-20061580,244404000000
036620,2024-01-31,-132074320,310089500,-178015180,241230000000
036620,2024-02-01,713329890,186491760,-899821650,247578000000
036620,2024-02-02,606300930,-614423070,8122140,242136000000
036620,2024-02-05,-148107375,167604515,-19497140,241683000000
036620,2024-02-06,123601580,247961310,-371562890,233068000000
036620,2024-02-07,-340734300,263265425,77468875,233521000000
036620,2024-02-08,352092600,213448560,-565541160,233975000000
036620,2024-02-13,390345235,-227997980,-162347255,231707000000
036620,2024-02-14,3703674095,-3112082655,-591591440,248031000000
036620,2024-02-15,416537625,-350053175,-66484450,242590000000
036620,2024-02-16,339230430,-74974900,-264255530,244404000000
036620,2024-02-19,401450520,-189161490,-212289030,242136000000
036620,2024-02-20,430637760,-32843840,-397793920,236242000000
036620,2024-02-21,707202600,-647877840,-59324760,257553000000
036620,2024-02-22,-1759772575,252578425,1507194150,274331000000
036620,2024-02-23,1468841690,-1679912970,211071280,287480000000
036620,2024-02-26,151641360,-637905840,486264480,282946000000
036620,2024-02-27,197925700,-380013500,182087800,281132000000
036620,2024-02-28,-70527920,189676800,-119148880,268436000000
036620,2024-02-29,-57252200,-397612720,454864920,265715000000
036620,2024-03-04,-200798760,278596120,-77797360,265715000000
036620,2024-03-05,72237880,11191180,-83429060,259367000000
036620,2024-03-06,335544125,-235666625,-99877500,260728000000
036620,2024-03-07,294575650,-181905900,-112669750,251205000000
036620,2024-03-08,-174716700,174657700,59000,267529000000
036620,2024-03-11,251847100,-140069565,-111777535,268889000000
036620,2024-03-12,189072765,-118825245,-70247520,281586000000
036620,2024-03-13,181937160,-191952990,10015830,273424000000
036620,2024-03-14,514744960,-588109280,73364320,275691000000
036620,2024-03-15,-121025440,11099040,109926400,275691000000
036620,2024-03-18,49405125,-136869705,87464580,276144000000
036620,2024-03-19,978331250,-382983250,-595348000,294736000000
036620,2024-03-20,867717080,-776323180,-91393900,278412000000
036620,2024-03-21,-923484200,583817400,339666800,308339000000
036620,2024-03-22,248986335,-482183325,233196990,300630000000
036620,2024-03-25,275967915,-464505470,188537555,302444000000
036620,2024-03-26,-27565880,122639480,-95073600,309699000000
036620,2024-03-27,-126128340,-97174350,223302690,307432000000
036620,2024-03-28,-122508000,-54982520,177490520,301084000000
036620,2024-03-29,-2072323910,330825680,1741498230,325569000000
036620,2024-04-01,-782119800,-952888000,1735007800,344614000000
036620,2024-04-02,152224620,233710820,-385935440,328290000000
036620,2024-04-03,-165154500,63143850,102010650,333278000000
036620,2024-04-04,140998015,-232280135,91282120,329650000000
036620,2024-04-05,77511690,-292649620,215137930,325569000000
036620,2024-04-08,63801420,-109247940,45446520,321035000000
036620,2024-04-09,459166320,-90202740,-368963580,321035000000
036620,2024-04-11,-56623460,253351640,-196728180,314687000000
036620,2024-04-12,-260134940,489359780,-229224840,306525000000
036620,2024-04-15,7596900,-98518200,90921300,312873000000
036620,2024-04-16,493709300,-732155025,238445725,301537000000
036620,2024-04-17,-137948160,274982400,-137034240,304711000000
036620,2024-04-18,-2114451765,-72888305,2187340070,342523000000
036620,2024-04-19,-106033690,-1118659560,1224693250,342523000000
036620,2024-04-22,426055000,481651200,-907706200,337506000000
036620,2024-04-23,1681007600,-1718472640,37465040,313789000000
036620,2024-04-24,-667863960,160466680,507397280,316526000000
036620,2024-04-25,-65157040,130541120,-65384080,313789000000
036620,2024-04-26,-160809985,308459455,-147649470,306948000000
036620,2024-04-29,308124675,434589090,-742713765,305124000000
036620,2024-04-30,995982595,-316551440,-679431155,292353000000
036620,2024-05-02,139715875,170151425,-309867300,289617000000
036620,2024-05-03,-490166880,405474720,84692160,306492000000
036620,2024-05-07,-670855320,594995620,75859700,321999000000
036620,2024-05-08,-55648800,-27694800,83343600,326678000000
036620,2024-05-09,-382112005,324548295,57563710,321687000000
036620,2024-05-10,-126050895,189118145,-63067250,329854000000
036620,2024-05-13,-2328108000,897841200,1430266800,344827000000
036620,2024-05-14,2848459575,-1914299400,-934160175,336206000000
036620,2024-05-16,-403943820,435105810,-31161990,345734000000
036620,2024-05-17,-877422360,408852500,468569860,347549000000
036620,2024-05-20,-328781700,118856400,209925300,353901000000
036620,2024-05-21,-5764456665,3131606205,2632850460,379763000000
036620,2024-05-22,-2126196040,-1419719040,3545915080,373865000000
036620,2024-05-23,-6492497880,3221313765,3271184115,408801000000
036620,2024-05-24,-1041911655,-1527139060,2569050715,416968000000
036620,2024-05-27,-378444340,-469159300,847603640,398366000000
036620,2024-05-28,-569857120,287918150,281938970,398366000000
036620,2024-05-29,-11397165,321767355,-310370190,377041000000
036620,2024-05-30,-1533997700,-313396610,1847394310,382032000000
036620,2024-05-31,-1846519200,-758268000,2604787200,392014000000
036620,2024-06-03,903818505,-907715595,3897090,370689000000
036620,2024-06-04,-868097250,325790100,542307150,367513000000
036620,2024-06-05,-39298845,167796270,-128497425,357077000000
036620,2024-06-07,297980980,-617003860,319022880,369328000000
036620,2024-06-10,721490350,-462374150,-259116200,374772000000
036620,2024-06-11,476815040,-424357440,-52457600,377495000000
036620,2024-06-12,-145219200,-200075400,345294600,381124000000
036620,2024-06-13,-515087430,205709790,309377640,389291000000
036620,2024-06-14,565867995,-747197990,181329995,384300000000
036620,2024-06-17,-74696600,-69822720,144519320,379309000000
036620,2024-06-18,33036220,100383500,-133419720,368420000000
036620,2024-06-19,-231273460,226607025,4666435,361614000000
036620,2024-06-20,371928200,-130337025,-241591175,358892000000
036620,2024-06-21,-65281230,-49627340,114908570,358892000000
036620,2024-06-24,-67662550,-195707230,263369780,354809000000
036620,2024-06-25,-201435380,-94614180,296049560,354809000000
036620,2024-06-26,-167832450,-106875825,274708275,360707000000
036620,2024-06-27,-236141910,-127827180,363969090,356623000000
036620,2024-06-28,-286074000,-146224800,432298800,375680000000
036620,2024-07-01,296499920,-314813320,18313400,373865000000
036620,2024-07-02,-56016700,-23601650,79618350,360253000000
036620,2024-07-03,2637388080,268662285,-2906050365,338928000000
036620,2024-07-04,-449642340,629109180,-179466840,343012000000
036620,2024-07-05,1690849545,-633917620,-1056931925,327132000000
036620,2024-07-08,487076895,1846043865,-2333120760,355262000000
036620,2024-07-09,-141560650,-515811800,657372450,376587000000
036620,2024-07-10,749121705,-316209615,-432912090,376133000000
036620,2024-07-11,-9270360,553750560,-544480200,359346000000
036620,2024-07-12,175269400,836001700,-1011271100,358438000000
036620,2024-07-15,836388660,215357120,-1051745780,350271000000
036620,2024-07-16,424451775,-145246035,-279205740,344373000000
036620,2024-07-17,35422960,349164880,-384587840,341197000000
036620,2024-07-18,-213039925,266766465,-53726540,340743000000
036620,2024-07-19,78005225,-139128750,61123525,338021000000
036620,2024-07-22,-50380625,96343400,-45962775,338021000000
036620,2024-07-23,-202597525,244417280,-41819755,337113000000
036620,2024-07-24,-140534240,16721540,123812700,339382000000
036620,2024-07-25,457289680,-648088480,190798800,323502000000
036620,2024-07-26,-245106060,-129234780,374340840,321233000000
036620,2024-07-29,26759950,9523290,-36283240,320780000000
036620,2024-07-30,-327226365,178276455,148949910,317150000000
036620,2024-07-31,68057110,-225949050,157891940,314881000000
036620,2024-08-01,103138080,-122983440,19845360,312159000000
036620,2024-08-02,266544945,254765925,-521310870,299908000000
036620,2024-08-05,-144612700,579377940,-434765240,274046000000
036620,2024-08-06,415312560,245397360,-660709920,283121000000
036620,2024-08-07,540296750,151180295,-691477045,282667000000
036620,2024-08-08,289558125,-127706625,-161851500,306261000000
036620,2024-08-09,-282938040,115588220,167349820,313974000000
036620,2024-08-12,-2076550,-297190950,299267500,316696000000
036620,2024-08-13,191266920,-223599600,32332680,310344000000
036620,2024-08-14,340985425,-348638180,7652755,304446000000
036620,2024-08-16,16343530,-255378690,239035160,308075000000
036620,2024-08-19,-26947305,79549470,-52602165,314427000000
036620,2024-08-20,-40392165,114461070,-74068905,311705000000
036620,2024-08-21,-403512950,301304100,102208850,310798000000
036620,2024-08-22,72664850,66628150,-139293000,303992000000
036620,2024-08-23,-148184960,-34119750,182304710,308075000000
036620,2024-08-26,-86206415,-164008630,250215045,302631000000
036620,2024-08-27,-254766600,92040300,162726300,299455000000
036620,2024-08-28,1457845200,-1439575240,-18269960,301270000000
036620,2024-08-29,-1223996800,1255321600,-31324800,290380000000
036620,2024-08-30,1404429840,-1425095380,20665540,293103000000
036620,2024-09-02,68283385,-345101315,276817930,291741000000
036620,2024-09-03,-51122500,25450750,25671750,294918000000
036620,2024-09-04,478730520,-326320560,-152409960,286751000000
036620,2024-09-05,-63564040,-79683540,143247580,284028000000
036620,2024-09-06,-116312230,-103187430,219499660,286297000000
036620,2024-09-09,-457361820,56224380,401137440,296732000000
036620,2024-09-10,408240000,-403360650,-4879350,285843000000
036620,2024-09-11,85583590,-18344930,-67238660,284028000000
036620,2024-09-12,-289607400,237722040,51885360,294010000000
036620,2024-09-13,233458500,-127637400,-105821100,299455000000
036620,2024-09-19,-64845930,-98869605,163715535,311705000000
036620,2024-09-20,-578476360,-85393280,663869640,311251000000
